iter	Passed	Remaining
0	2	560
1	7	738
2	12	827
3	17	837
4	22	895
5	29	940
6	33	935
7	39	954
8	45	957
9	49	941
10	55	945
11	59	938
12	64	933
13	69	925
14	74	916
15	79	913
16	84	910
17	89	904
18	93	892
19	98	889
20	104	887
21	109	885
22	113	874
23	118	869
24	123	866
25	128	860
26	131	843
27	136	838
28	141	834
29	145	826
30	150	820
31	155	817
32	160	810
33	164	803
34	184	871
35	189	862
36	193	850
37	197	842
38	202	835
39	207	829
40	212	824
41	216	814
42	221	808
43	225	799
44	229	791
45	244	817
46	247	806
47	251	797
48	255	788
49	260	780
50	264	771
51	268	762
52	273	759
53	279	754
54	285	751
55	290	746
56	294	739
57	300	734
58	305	729
59	311	726
60	316	720
61	321	715
62	326	710
63	331	704
64	336	699
65	343	696
66	350	695
67	358	695
68	365	694
69	373	692
70	382	694
71	386	687
72	392	681
73	397	677
74	402	671
75	409	668
76	418	669
77	428	669
78	433	664
79	440	660
80	446	655
81	452	651
82	459	647
83	465	643
84	472	638
85	480	637
86	490	636
87	498	634
88	503	627
89	511	625
90	517	619
91	524	615
92	531	611
93	537	606
94	545	602
95	552	598
96	558	593
97	565	588
98	571	582
99	578	578
100	583	572
101	589	566
102	595	560
103	602	555
104	608	550
105	616	546
106	621	540
107	628	535
108	635	530
109	641	524
110	647	518
111	652	513
112	659	508
113	665	501
114	671	496
115	677	490
116	684	485
117	689	479
118	698	475
119	706	471
120	713	465
121	719	460
122	726	455
123	734	450
124	744	446
125	752	441
126	759	436
127	767	431
128	774	426
129	782	421
130	788	415
131	796	410
132	802	404
133	811	399
134	816	393
135	821	386
136	825	379
137	830	372
138	835	366
139	839	359
140	843	353
141	848	346
142	853	340
143	857	333
144	862	327
145	867	320
146	872	314
147	876	308
148	881	301
149	886	295
150	890	289
151	895	282
152	900	276
153	904	270
154	908	263
155	913	257
156	918	251
157	922	245
158	926	239
159	931	232
160	935	226
161	940	220
162	944	214
163	948	208
164	953	202
165	958	196
166	963	190
167	967	184
168	972	178
169	977	172
170	982	166
171	986	160
172	991	154
173	995	148
174	999	142
175	1020	139
176	1024	133
177	1028	127
178	1032	121
179	1036	115
180	1041	109
181	1045	103
182	1050	97
183	1055	91
184	1059	85
185	1063	80
186	1068	74
187	1072	68
188	1078	62
189	1082	56
190	1086	51
191	1091	45
192	1096	39
193	1100	34
194	1105	28
195	1110	22
196	1115	16
197	1120	11
198	1124	5
199	1129	0
